pre,post,ACD_avg,ACD_max,ACD_sum,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOCU,NOF_avg,NOF_max,NOF_sum,NOI_avg,NOI_max,NOI_sum,NOM_avg,NOM_max,NOM_sum,NOT_avg,NOT_max,NOT_sum,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC_avg,TLOC_max,TLOC_sum,VG_avg,VG_max,VG_sum,AnonymousClassDeclaration,ArrayAccess,ArrayCreation,ArrayInitializer,ArrayType,AssertStatement,Assignment,Block,BooleanLiteral,BreakStatement,CastExpression,CatchClause,CharacterLiteral,ClassInstanceCreation,CompilationUnit,ConditionalExpression,ConstructorInvocation,ContinueStatement,DoStatement,EmptyStatement,ExpressionStatement,FieldAccess,FieldDeclaration,ForStatement,IfStatement,ImportDeclaration,InfixExpression,Initializer,Javadoc,LabeledStatement,MethodDeclaration,MethodInvocation,NullLiteral,NumberLiteral,PackageDeclaration,ParenthesizedExpression,PostfixExpression,PrefixExpression,PrimitiveType,QualifiedName,ReturnStatement,SimpleName,SimpleType,SingleVariableDeclaration,StringLiteral,SuperConstructorInvocation,SuperFieldAccess,SuperMethodInvocation,SwitchCase,SwitchStatement,SynchronizedStatement,ThisExpression,ThrowStatement,TryStatement,TypeDeclaration,TypeDeclarationStatement,TypeLiteral,VariableDeclarationExpression,VariableDeclarationFragment,VariableDeclarationStatement,WhileStatement,InstanceofExpression,LineComment,BlockComment,TagElement,TextElement,MemberRef,MethodRef,MethodRefParameter,EnhancedForStatement,EnumDeclaration,EnumConstantDeclaration,TypeParameter,ParameterizedType,QualifiedType,WildcardType,NormalAnnotation,MarkerAnnotation,SingleMemberAnnotation,MemberValuePair,AnnotationTypeDeclaration,AnnotationTypeMemberDeclaration,Modifier,SUM,NORM_AnonymousClassDeclaration,NORM_ArrayAccess,NORM_ArrayCreation,NORM_ArrayInitializer,NORM_ArrayType,NORM_AssertStatement,NORM_Assignment,NORM_Block,NORM_BooleanLiteral,NORM_BreakStatement,NORM_CastExpression,NORM_CatchClause,NORM_CharacterLiteral,NORM_ClassInstanceCreation,NORM_CompilationUnit,NORM_ConditionalExpression,NORM_ConstructorInvocation,NORM_ContinueStatement,NORM_DoStatement,NORM_EmptyStatement,NORM_ExpressionStatement,NORM_FieldAccess,NORM_FieldDeclaration,NORM_ForStatement,NORM_IfStatement,NORM_ImportDeclaration,NORM_InfixExpression,NORM_Initializer,NORM_Javadoc,NORM_LabeledStatement,NORM_MethodDeclaration,NORM_MethodInvocation,NORM_NullLiteral,NORM_NumberLiteral,NORM_PackageDeclaration,NORM_ParenthesizedExpression,NORM_PostfixExpression,NORM_PrefixExpression,NORM_PrimitiveType,NORM_QualifiedName,NORM_ReturnStatement,NORM_SimpleName,NORM_SimpleType,NORM_SingleVariableDeclaration,NORM_StringLiteral,NORM_SuperConstructorInvocation,NORM_SuperFieldAccess,NORM_SuperMethodInvocation,NORM_SwitchCase,NORM_SwitchStatement,NORM_SynchronizedStatement,NORM_ThisExpression,NORM_ThrowStatement,NORM_TryStatement,NORM_TypeDeclaration,NORM_TypeDeclarationStatement,NORM_TypeLiteral,NORM_VariableDeclarationExpression,NORM_VariableDeclarationFragment,NORM_VariableDeclarationStatement,NORM_WhileStatement,NORM_InstanceofExpression,NORM_LineComment,NORM_BlockComment,NORM_TagElement,NORM_TextElement,NORM_MemberRef,NORM_MethodRef,NORM_MethodRefParameter,NORM_EnhancedForStatement,NORM_EnumDeclaration,NORM_EnumConstantDeclaration,NORM_TypeParameter,NORM_ParameterizedType,NORM_QualifiedType,NORM_WildcardType,NORM_NormalAnnotation,NORM_MarkerAnnotation,NORM_SingleMemberAnnotation,NORM_MemberValuePair,NORM_AnnotationTypeDeclaration,NORM_AnnotationTypeMemberDeclaration,NORM_Modifier
5,0,0.571428571428571,4,4,5.98076923076923,29,311,9.23076923076923,55,480,1.82692307692308,6,95,7,1.25,8,10,0,0,0,6.375,18,51,1,1,7,0.5,3,4,0.125,1,1,1.17307692307692,4,61,112,277,784,2.57692307692308,11,134,4,8,9,7,28,0,42,146,10,0,20,18,3,46,7,0,0,0,0,0,156,0,14,2,55,163,63,0,42,0,56,312,50,35,7,16,2,3,40,777,52,2349,294,83,49,2,0,6,0,0,0,0,1,14,8,0,2,2,105,89,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5296,0.000755287009063,0.001510574018127,0.001699395770393,0.001321752265861,0.005287009063444,0,0.007930513595166,0.027567975830816,0.001888217522659,0,0.003776435045317,0.003398791540786,0.000566465256798,0.00868580060423,0.001321752265861,0,0,0,0,0,0.029456193353474,0,0.002643504531722,0.000377643504532,0.010385196374622,0.030777945619335,0.011895770392749,0,0.007930513595166,0,0.010574018126888,0.058912386706949,0.009441087613293,0.006608761329305,0.001321752265861,0.003021148036254,0.000377643504532,0.000566465256798,0.007552870090634,0.146714501510574,0.009818731117825,0.443542296072508,0.055513595166163,0.015672205438067,0.009252265861027,0.000377643504532,0,0.001132930513595,0,0,0,0,0.000188821752266,0.002643504531722,0.001510574018127,0,0.000377643504532,0.000377643504532,0.019826283987916,0.016805135951662,0,0.001321752265861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017371601208459
2,0,0,0,0,4,22,168,6.66666666666667,32,280,1.35714285714286,6,57,3,2.6,11,13,0.333333333333333,1,1,8.2,29,41,0.666666666666667,1,2,4,16,20,0.2,1,1,1.0952380952381,4,46,140,386,420,2.33333333333333,15,98,0,17,6,3,16,0,30,89,12,2,8,12,4,17,3,0,0,0,0,0,105,0,33,7,39,19,55,0,58,0,42,168,31,35,3,2,7,6,64,94,17,889,143,58,45,1,0,0,0,0,2,8,2,10,5,0,1,7,73,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2409,0,0.007056870070569,0.002490660024907,0.001245330012453,0.006641760066418,0,0.012453300124533,0.036944790369448,0.004981320049813,0.000830220008302,0.003320880033209,0.004981320049813,0.001660440016604,0.007056870070569,0.001245330012453,0,0,0,0,0,0.043586550435866,0,0.013698630136986,0.002905770029058,0.016189290161893,0.007887090078871,0.022831050228311,0,0.024076380240764,0,0.017434620174346,0.069738480697385,0.012868410128684,0.014528850145289,0.001245330012453,0.000830220008302,0.002905770029058,0.002490660024907,0.02656704026567,0.039020340390204,0.007056870070569,0.369032793690328,0.059360730593607,0.024076380240764,0.0186799501868,0.000415110004151,0,0,0,0,0.000830220008302,0.003320880033209,0.000830220008302,0.004151100041511,0.002075550020756,0,0.000415110004151,0.002905770029058,0.03030303030303,0.013698630136986,0.000830220008302,0.000830220008302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051473640514736
9,0,1.23809523809524,14,26,4.32126696832579,33,955,7.02714932126697,83,1553,1.45248868778281,5,321,21,3.55555555555556,26,96,0.095238095238095,1,2,7.51851851851852,52,203,0.904761904761905,1,19,1.07407407407407,11,29,0.666666666666667,9,18,0.800904977375566,4,177,116,679,2436,2.04524886877828,19,452,26,27,18,15,35,0,187,407,43,2,38,21,23,153,21,0,1,0,0,0,632,8,125,20,199,243,263,0,79,0,253,976,124,132,21,37,28,23,274,1239,156,5946,796,216,134,11,0,6,7,1,0,24,1,19,27,0,0,20,372,226,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,14161,0.001836028529059,0.001906645010946,0.001271096673964,0.001059247228303,0.002471576866041,0,0.013205282112845,0.028740908127957,0.003036508721136,0.000141232963774,0.002683426311701,0.001482946119624,0.001624179083398,0.010804321728692,0.001482946119624,0,7.06164818868724E-05,0,0,0,0.044629616552503,0.000564931855095,0.008827060235859,0.001412329637737,0.014052679895488,0.01715980509851,0.018572134736248,0,0.005578702069063,0,0.017865969917379,0.068921686321588,0.008756443753972,0.009321375609067,0.001482946119624,0.002612809829814,0.001977261492832,0.001624179083398,0.019348916037003,0.087493821057835,0.011016171174352,0.419885601299343,0.056210719581951,0.015253160087565,0.009462608572841,0.000776781300756,0,0.000423698891321,0.000494315373208,7.06164818868724E-05,0,0.001694795565285,7.06164818868724E-05,0.001341713155851,0.001906645010946,0,0,0.001412329637737,0.026269331261917,0.015959324906433,0.000353082409434,0.000918014264529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034460843160794
2,0,0.555555555555556,4,5,3.75294117647059,80,319,6.51764705882353,118,554,1.56470588235294,6,133,9,2.09090909090909,12,23,0,0,0,4.81818181818182,18,53,1,1,9,0.181818181818182,1,2,2.90909090909091,9,32,1.51764705882353,7,129,99.4444444444444,219,895,2.41176470588235,32,205,5,18,7,2,30,0,59,187,23,0,27,3,13,35,9,0,1,0,0,0,204,8,25,17,82,115,84,0,56,0,90,321,26,55,9,22,18,22,133,581,62,2466,303,136,50,1,0,4,0,0,0,2,1,3,11,0,0,17,123,81,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,5733,0.000872143729287,0.003139717425432,0.001221001221001,0.000348857491715,0.00523286237572,0,0.010291296005582,0.032618175475318,0.004011861154718,0,0.004709576138148,0.000523286237572,0.002267573696145,0.006105006105006,0.001569858712716,0,0.000174428745857,0,0,0,0.035583464154893,0.001395429966859,0.004360718646433,0.002965288679574,0.0143031571603,0.020059305773592,0.014652014652015,0,0.00976800976801,0,0.015698587127159,0.055991627420199,0.00453514739229,0.009593581022152,0.001569858712716,0.003837432408861,0.003139717425432,0.003837432408861,0.023199023199023,0.101343101343101,0.010814582243154,0.430141287284144,0.052851909994767,0.023722309436595,0.008721437292866,0.000174428745857,0,0.000697714983429,0,0,0,0.000348857491715,0.000174428745857,0.000523286237572,0.00191871620443,0,0,0.002965288679574,0.02145473574045,0.014128728414443,0.000174428745857,0.003663003663004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286063143206
6,0,2,5,18,6.55263157894737,63,996,10.7368421052632,75,1632,2.05263157894737,8,312,9,4.69230769230769,16,61,0,0,0,11.0769230769231,36,144,1,1,9,1.84615384615385,9,24,0.615384615384615,3,8,0.796052631578947,4,121,253.444444444444,724,2281,2.80921052631579,21,427,18,57,31,22,76,0,222,422,86,7,24,26,8,162,9,7,1,1,0,0,678,3,85,26,186,227,252,0,71,1,172,997,102,192,9,19,36,33,216,1205,91,5857,722,167,171,7,0,8,4,1,0,1,1,25,13,0,0,26,371,259,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,13763,0.001307854392211,0.004141538908668,0.002252415897697,0.001598488701591,0.005522051878224,0,0.016130204170602,0.030661919639614,0.006248637651675,0.000508610041415,0.001743805856281,0.001889123010971,0.00058126861876,0.011770689529899,0.000653927196106,0.000508610041415,7.26585773450556E-05,7.26585773450556E-05,0,0,0.049262515439948,0.000217975732035,0.00617597907433,0.001889123010971,0.01351449538618,0.016493497057328,0.018309961490954,0,0.005158758991499,7.26585773450556E-05,0.01249727530335,0.072440601613021,0.007411174889196,0.013950446850251,0.000653927196106,0.001380512969556,0.002615708784422,0.002397733052387,0.015694252706532,0.087553585700792,0.0066119305384,0.425561287509991,0.05245949284313,0.012133982416624,0.012424616726005,0.000508610041415,0,0.00058126861876,0.00029063430938,7.26585773450556E-05,0,7.26585773450556E-05,7.26585773450556E-05,0.001816464433626,0.000944561505486,0,0,0.001889123010971,0.026956332195016,0.018818571532369,7.26585773450556E-05,0.001017220082831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024340623410594
0,0,0,0,0,2.37931034482759,8,69,3.96551724137931,19,115,1.44827586206897,4,42,4,0.5,1,2,0,0,0,4,8,16,1,1,4,1.75,7,7,3.25,13,13,0.724137931034483,3,21,53.5,110,214,1.62068965517241,5,47,0,6,3,1,9,0,16,47,1,1,4,3,0,4,4,0,0,0,0,0,37,1,9,3,12,8,18,0,3,0,29,69,13,11,4,4,1,2,17,60,16,458,80,24,12,4,0,0,0,0,0,2,0,3,4,0,0,3,29,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1124,0,0.005338078291815,0.002669039145907,0.000889679715302,0.008007117437722,0,0.01423487544484,0.041814946619217,0.000889679715302,0.000889679715302,0.00355871886121,0.002669039145907,0,0.00355871886121,0.00355871886121,0,0,0,0,0,0.032918149466192,0.000889679715302,0.008007117437722,0.002669039145907,0.01067615658363,0.00711743772242,0.016014234875445,0,0.002669039145907,0,0.025800711743772,0.061387900355872,0.011565836298932,0.009786476868327,0.00355871886121,0.00355871886121,0.000889679715302,0.001779359430605,0.015124555160142,0.05338078291815,0.01423487544484,0.407473309608541,0.071174377224199,0.02135231316726,0.01067615658363,0.00355871886121,0,0,0,0,0,0.001779359430605,0,0.002669039145907,0.00355871886121,0,0,0.002669039145907,0.025800711743772,0.01423487544484,0,0.00355871886121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061387900355872
0,0,0,0,0,5.20779220779221,31,401,8.61038961038961,52,663,1.85714285714286,4,143,9,0.833333333333333,2,10,0.111111111111111,1,1,5.91666666666667,15,71,0.888888888888889,1,8,1.5,6,18,0.5,6,6,1.53246753246753,5,118,107.888888888889,314,971,2.81818181818182,16,217,0,14,3,2,32,0,35,199,45,4,25,18,6,26,9,3,0,2,0,0,195,7,28,16,92,51,97,0,0,0,77,401,44,47,9,11,24,11,100,253,57,2242,363,136,84,3,0,2,4,1,0,7,0,12,12,0,0,16,179,135,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,5311,0,0.002636038410845,0.000564865373753,0.000376576915835,0.006025230653361,0,0.006590096027114,0.037469403125588,0.008472980606289,0.00075315383167,0.004707211447938,0.003389192242516,0.001129730747505,0.004895499905856,0.001694596121258,0.000564865373753,0,0.000376576915835,0,0,0.036716249293918,0.001318019205423,0.005272076821691,0.00301261532668,0.017322538128413,0.009602711353794,0.018263980418,0,0,0,0.01449821125965,0.075503671624929,0.008284692148371,0.008849557522124,0.001694596121258,0.002071173037093,0.004518922990021,0.002071173037093,0.018828845791753,0.047636979853135,0.010732442101299,0.422142722651101,0.068348710224063,0.025607230276784,0.015816230465073,0.000564865373753,0,0.000376576915835,0.00075315383167,0.000188288457918,0,0.001318019205423,0,0.00225946149501,0.00225946149501,0,0,0.00301261532668,0.033703633967238,0.025418941818867,0,0.003200903784598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029184710977217
0,0,0,0,0,8.75,19,35,28.75,71,115,2.5,3,10,1,0,0,0,0,0,0,0,0,0,1,1,1,9,9,9,4,4,4,0.25,1,1,140,140,140,8,18,32,0,13,2,0,4,0,14,28,3,0,0,6,0,1,1,1,0,0,0,0,31,0,9,3,15,1,28,0,0,0,4,35,9,23,1,4,3,0,14,22,2,219,21,7,23,0,0,0,0,0,0,0,0,6,1,0,0,3,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,618,0,0.021035598705502,0.003236245954693,0,0.006472491909385,0,0.022653721682848,0.045307443365696,0.004854368932039,0,0,0.009708737864078,0,0.001618122977346,0.001618122977346,0.001618122977346,0,0,0,0,0.050161812297735,0,0.014563106796117,0.004854368932039,0.024271844660194,0.001618122977346,0.045307443365696,0,0,0,0.006472491909385,0.05663430420712,0.014563106796117,0.037216828478964,0.001618122977346,0.006472491909385,0.004854368932039,0,0.022653721682848,0.035598705501618,0.003236245954693,0.354368932038835,0.033980582524272,0.011326860841424,0.037216828478964,0,0,0,0,0,0,0,0,0.009708737864078,0.001618122977346,0,0,0.004854368932039,0.033980582524272,0.014563106796117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050161812297735
19,3,0.214285714285714,2,3,4.54081632653061,100,445,8.1734693877551,132,801,1.42857142857143,5,140,14,1.5625,9,25,0.142857142857143,1,2,4.75,18,76,0.857142857142857,1,12,4.75,31,76,1.375,12,22,1.02040816326531,7,100,86.0714285714286,348,1205,2.93877551020408,52,288,3,11,8,4,27,0,97,218,22,4,17,19,1,56,14,0,2,0,0,0,226,29,101,8,136,68,168,0,108,0,101,446,120,82,14,0,8,11,77,419,88,2835,450,119,103,12,0,0,0,0,0,32,5,16,16,0,1,8,232,123,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7075,0.000424028268551,0.001554770318021,0.00113074204947,0.000565371024735,0.003816254416961,0,0.013710247349823,0.030812720848057,0.003109540636042,0.000565371024735,0.002402826855124,0.002685512367491,0.000141342756184,0.00791519434629,0.001978798586572,0,0.000282685512367,0,0,0,0.031943462897527,0.004098939929329,0.014275618374558,0.00113074204947,0.019222614840989,0.009611307420495,0.023745583038869,0,0.015265017667845,0,0.014275618374558,0.063038869257951,0.01696113074205,0.011590106007067,0.001978798586572,0,0.00113074204947,0.001554770318021,0.010883392226149,0.059222614840989,0.01243816254417,0.400706713780919,0.063604240282686,0.016819787985866,0.014558303886926,0.001696113074205,0,0,0,0,0,0.00452296819788,0.000706713780919,0.00226148409894,0.00226148409894,0,0.000141342756184,0.00113074204947,0.032791519434629,0.017385159010601,0.000989399293286,0.000424028268551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056537102473498
28,4,1.84615384615385,15,48,6.32962962962963,77,1709,9.01851851851852,146,2435,1.38888888888889,5,375,26,3.33333333333333,16,120,0.038461538461539,1,1,7.19444444444444,34,259,0.961538461538462,1,25,1.44444444444444,15,52,0.277777777777778,6,10,0.696296296296296,3,188,133.5,805,3471,2.03333333333333,27,549,48,50,32,22,81,0,363,472,71,49,96,14,2,345,26,4,0,0,0,0,1116,58,172,19,191,211,284,0,145,0,317,1709,167,257,26,28,17,15,318,1372,164,8696,1257,243,228,18,0,29,47,7,0,49,0,12,36,0,4,19,514,316,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,20384,0.002354788069074,0.002452904238619,0.001569858712716,0.001079277864992,0.003973704866562,0,0.017808084772371,0.023155416012559,0.003483124018838,0.002403846153846,0.004709576138148,0.000686813186813,9.8116169544741E-05,0.016925039246468,0.001275510204082,0.000196232339089,0,0,0,0,0.054748822605966,0.002845368916797,0.008437990580848,0.000932103610675,0.009370094191523,0.01035125588697,0.013932496075353,0,0.007113422291994,0,0.015551412872842,0.083840266875981,0.008192700156986,0.012607927786499,0.001275510204082,0.001373626373626,0.00083398744113,0.000735871271586,0.015600470957614,0.067307692307692,0.008045525902669,0.426609105180534,0.06166601255887,0.011921114599686,0.011185243328101,0.000883045525903,0,0.001422684458399,0.002305729984301,0.000343406593407,0,0.002403846153846,0,0.000588697017268,0.001766091051805,0,0.000196232339089,0.000932103610675,0.025215855572999,0.015502354788069,0,0.000932103610675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030857535321821
